Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22220028	22262594	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	36789545	36789545	chr1	36786699	36790653	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	42680326	42680326	chr1	42674980	42681786	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	53515100	53515100	chr1	53511466	53516986	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	113242121	113242121	chr1	113240684	113249260	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	113248364	113248364	chr1	113240684	113249260	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	172324929	172324929	chr1	172324766	172330852	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	172353470	172353470	chr1	172348877	172353985	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	183241261	183241261	chr1	183239216	183242917	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	204940971	204940971	chr1	204940038	204943049	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	223960535	223960535	chr1	223956456	223965669	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr1	230238820	230238820	chr1	230238218	230243026	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	73329871	73329871	chr2	73328425	73331602	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	73330953	73330953	chr2	73328425	73331602	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	153572155	153572155	chr2	153570829	153573518	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	158291538	158291538	chr2	158288960	158291641	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	159926848	159926848	chr2	159923104	159935556	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	169853632	169853632	chr2	169847717	169860146	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	177146274	177146274	chr2	177145379	177150875	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	219497927	219497927	chr2	219494875	219498578	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr2	238635136	238635136	chr2	238631764	238637704	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	12360213	12360213	chr3	12359982	12361715	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	19931169	19931169	chr3	19929130	19932154	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	31135968	31135968	chr3	31133675	31136528	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	31950589	31950589	chr3	31945601	31951681	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	37952593	37952593	chr3	37945267	37953229	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	87321756	87321756	chr3	87317672	87321804	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	87386351	87386351	chr3	87381292	87386572	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	99352911	99352911	chr3	99351971	99372877	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	127435190	127435190	chr3	127431290	127435845	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr3	188228689	188228689	chr3	188227493	188229058	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr4	76923997	76923997	chr4	76922631	76924355	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310293	88313624	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr4	89789477	89789477	chr4	89784261	89789966	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579205	170587389	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr5	34863932	34863932	chr5	34862269	34865986	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr5	55422680	55422680	chr5	55417596	55426023	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr5	58533391	58533391	chr5	58530593	58536155	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr5	58574963	58574963	chr5	58574581	58576384	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr5	58583212	58583212	chr5	58581268	58586424	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr5	64119614	64119614	chr5	64117180	64119857	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
chr5	70767268	70767268	chr5	70766197	70767798	H3K4ME1	HUVEC	wgEncodeBroadHistoneHuvecH3k4me1StdAln.narrowPeak
