Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	HEY1_K562	12995738	12995914	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12995738	12995914	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12995738	12995914	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12995738	12995914	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996109	12996305	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996109	12996305	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996109	12996305	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996109	12996305	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996976	12997038	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996976	12997038	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996976	12997038	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12996976	12997038	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12997859	12998080	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12997859	12998080	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12997859	12998080	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00310
chr19	12995238	12998702	HEY1_K562	12997859	12998080	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00310
