Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727740	7727889	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075560	202075709	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr1	235072836	235072836	chr1	235072720	235072869	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314960	102315109	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291440	158291589	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291480	158291629	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224300	238224449	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238235060	238235209	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462900	4463049	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465200	54465349	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr4	111077160	111077160	chr4	111077040	111077189	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909500	186909649	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909520	186909669	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802280	137802429	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805640	137805789	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr6	164463354	164463354	chr6	164463340	164463489	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr6	164463354	164463354	chr6	164463340	164463489	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009280	130009429	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr8	79045301	79045301	chr8	79045240	79045389	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356420	119356569	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199280	14199429	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290740	12290889	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	HCM	HCM-DS12599.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390660	49390809	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HCM	HCM-DS12589.peaks.fdr0.01.hg19.bed
