Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa01100
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa01100
chrX	55041618	55041619	GATA1_K562B	55041466	55041741	NM_000032	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	GATA1_K562B	55041466	55041741	NM_001037967	55041448	55042009	INTRON3	ALAS2	212	hsa01100
chrX	55041618	55041619	GATA1_K562B	55041466	55041741	NM_001037968	55041448	55042009	INTRON3	ALAS2	212	hsa01100
