Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727616	7727949	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr3	52968725	52968725	chr3	52968689	52968973	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019466	196019741	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454275	3454469	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr6	130073290	130073290	chr6	130073061	130073324	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr9	4090723	4090723	chr9	4090510	4090785	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr10	5705899	5705899	chr10	5705879	5706154	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr10	5706021	5706021	chr10	5705879	5706154	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729797	128730074	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390554	49390820	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299125	58299479	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959340	959585	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519200	74519511	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495704	495932	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
chr21	38539118	38539118	chr21	38539056	38539331	CTCF	HRE	spp.optimal.wgEncodeUwTfbsHreCtcfStdAlnRep0_VS_wgEncodeUwTfbsHreInputStdAlnRep1.narrowPeak
