Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727620	7727962	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr3	52968725	52968725	chr3	52968715	52968959	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454246	3454489	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr6	130073290	130073290	chr6	130073128	130073304	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729794	128730071	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390562	49390833	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299155	58299464	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959347	959576	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519211	74519528	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188647	48188890	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495719	495934	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
chr21	38539118	38539118	chr21	38539088	38539331	CTCF	SAEC	spp.optimal.wgEncodeUwTfbsSaecCtcfStdAlnRep0_VS_wgEncodeUwTfbsSaecInputStdAlnRep1.narrowPeak
