Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr6	170862335	170862335	chr6	170862235	170862484	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983523	115983772	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr9	123791935	123791935	chr9	123791849	123792098	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr10	71890629	71890629	chr10	71890581	71890830	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr14	93328536	93328536	chr14	93328483	93328732	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	13956666	13956666	chr17	13956587	13956836	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046361	41046577	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	56472118	56472118	chr17	56472033	56472282	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769649	4769898	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr21	42694666	42694666	chr21	42694540	42694789	HNF4GSC6558	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
