Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr3	196019679	196019679	CTCF_GM12878	196019443	196019762	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr3	196019679	196019679	CTCF_GM12878	196019494	196019723	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr3	196019679	196019679	CTCF_GM12878	196019508	196019707	NM_005017	196016584	196024583	5P2	PCYT1A	5130	hsa01100
chr17	74519373	74519373	CTCF_GM12878	74519218	74519472	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_GM12878	74519218	74519472	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_GM12878	74519233	74519482	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_GM12878	74519233	74519482	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_GM12878	74519258	74519449	NM_001166579	74476199	74566198	3D	AANAT	15	hsa01100
chr17	74519373	74519373	CTCF_GM12878	74519258	74519449	NM_001088	74476199	74566198	3D	AANAT	15	hsa01100
chr21	38539118	38539118	CTCF_GM12878	38539048	38539367	NM_153681	38455103	38545102	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_GM12878	38539048	38539367	NR_028352	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_GM12878	38539048	38539367	NM_153682	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_GM12878	38539081	38539310	NM_153681	38455103	38545102	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_GM12878	38539081	38539310	NR_028352	38455458	38545457	5D	PIGP	51227	hsa01100
chr21	38539118	38539118	CTCF_GM12878	38539081	38539310	NM_153682	38455458	38545457	5D	PIGP	51227	hsa01100
