Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36786150	36790119	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246465	113250874	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr1	223960535	223960535	chr1	223959009	223960571	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312738	102318881	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571647	153577182	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19929965	19931665	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378764	44381891	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88308892	88313270	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579775	170583325	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798982	137804322	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr5	149310446	149310446	chr5	149309586	149310538	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912979	167915250	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738495	173739391	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103005	26105278	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138736	84141501	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136356206	136363594	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208124	160214070	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860150	170865347	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433147	26440818	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981296	115986161	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340667	13342844	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr10	71890629	71890629	chr10	71890341	71893383	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708818	114717145	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159803	35166324	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598780	47602577	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229614	118231804	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390533	49391453	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50297019	50298699	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr12	58705074	58705074	chr12	58704567	58705620	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363457	111370668	H3K4ME3	HPAF	wgEncodeUwHistoneHpafH3k4me3StdAln.narrowPeak
